State,Year,Quarter,Transacion_type,Transacion_count,Transacion_amount,Latitude,Longitude
arunachal-pradesh,2020,2,Financial Services,1310,2655507.6964110374,28.218,94.7278
arunachal-pradesh,2020,2,Others,1939,1761404.4023099935,28.218,94.7278
arunachal-pradesh,2020,3,Recharge & bill payments,514907,153463816.21184397,28.218,94.7278
arunachal-pradesh,2020,3,Peer-to-peer payments,370418,2361603431.37578,28.218,94.7278
arunachal-pradesh,2020,3,Merchant payments,72736,88145178.69272713,28.218,94.7278
arunachal-pradesh,2020,3,Financial Services,1761,4030599.9171272414,28.218,94.7278
arunachal-pradesh,2020,3,Others,3005,2695539.3607389224,28.218,94.7278
arunachal-pradesh,2020,4,Peer-to-peer payments,522019,3254744938.4105625,28.218,94.7278
arunachal-pradesh,2020,4,Recharge & bill payments,513895,152389181.21743062,28.218,94.7278
arunachal-pradesh,2020,4,Merchant payments,167387,156682926.02384603,28.218,94.7278
arunachal-pradesh,2020,4,Financial Services,1749,2391651.8783250954,28.218,94.7278
arunachal-pradesh,2020,4,Others,4079,4055324.315454754,28.218,94.7278
arunachal-pradesh,2021,1,Peer-to-peer payments,566209,3460488558.9436507,28.218,94.7278
arunachal-pradesh,2021,1,Recharge & bill payments,450649,142358376.9003836,28.218,94.7278
arunachal-pradesh,2021,1,Merchant payments,155966,204958020.0891498,28.218,94.7278
arunachal-pradesh,2021,1,Financial Services,1558,2672460.4740365944,28.218,94.7278
arunachal-pradesh,2021,1,Others,3074,3301662.609423133,28.218,94.7278
arunachal-pradesh,2021,2,Peer-to-peer payments,762946,4000960152.0755496,28.218,94.7278
arunachal-pradesh,2021,2,Recharge & bill payments,556680,165579844.25105897,28.218,94.7278
arunachal-pradesh,2021,2,Merchant payments,243375,283709438.5363142,28.218,94.7278
arunachal-pradesh,2021,2,Financial Services,1582,2761076.7934988844,28.218,94.7278
arunachal-pradesh,2021,2,Others,3755,3415105.337960117,28.218,94.7278
arunachal-pradesh,2021,3,Peer-to-peer payments,986088,5033603845.032885,28.218,94.7278
arunachal-pradesh,2021,3,Recharge & bill payments,600102,187390578.30403772,28.218,94.7278
arunachal-pradesh,2021,3,Merchant payments,314658,449869060.7842621,28.218,94.7278
arunachal-pradesh,2021,3,Financial Services,1934,3348547.8272713376,28.218,94.7278
arunachal-pradesh,2021,3,Others,4185,3912143.3503634185,28.218,94.7278
arunachal-pradesh,2021,4,Peer-to-peer payments,1227616,6022733378.120082,28.218,94.7278
arunachal-pradesh,2021,4,Recharge & bill payments,633248,207784816.33218512,28.218,94.7278
arunachal-pradesh,2021,4,Merchant payments,521447,704195694.9939187,28.218,94.7278
arunachal-pradesh,2021,4,Financial Services,2386,3933557.2795471298,28.218,94.7278
arunachal-pradesh,2021,4,Others,5901,4862905.885615055,28.218,94.7278
arunachal-pradesh,2022,1,Peer-to-peer payments,1403584,6670641250.45945,28.218,94.7278
arunachal-pradesh,2022,1,Merchant payments,720803,917155358.717718,28.218,94.7278
arunachal-pradesh,2022,1,Recharge & bill payments,670576,231933129.00412333,28.218,94.7278
arunachal-pradesh,2022,1,Financial Services,3053,3359625.792926075,28.218,94.7278
arunachal-pradesh,2022,1,Others,6052,5002264.113148138,28.218,94.7278
arunachal-pradesh,2022,2,Peer-to-peer payments,1751568,7627061474.687715,28.218,94.7278
arunachal-pradesh,2022,2,Merchant payments,1108353,1255513517.3639429,28.218,94.7278
arunachal-pradesh,2022,2,Recharge & bill payments,688770,241162643.1948016,28.218,94.7278
arunachal-pradesh,2022,2,Financial Services,2466,4063469.0998270046,28.218,94.7278
arunachal-pradesh,2022,2,Others,5768,3864269.879579009,28.218,94.7278
arunachal-pradesh,2022,3,Peer-to-peer payments,1967086,7365427284.274204,28.218,94.7278
arunachal-pradesh,2022,3,Merchant payments,1316326,1413247143.4889915,28.218,94.7278
arunachal-pradesh,2022,3,Recharge & bill payments,649322,238448083.80779752,28.218,94.7278
arunachal-pradesh,2022,3,Financial Services,1997,4763324.776043448,28.218,94.7278
arunachal-pradesh,2022,3,Others,4687,3224948.7015704075,28.218,94.7278
arunachal-pradesh,2022,4,Peer-to-peer payments,2251135,7768088687.67791,28.218,94.7278
arunachal-pradesh,2022,4,Merchant payments,1704968,1669602212.9174638,28.218,94.7278
arunachal-pradesh,2022,4,Recharge & bill payments,669151,239412553.61214688,28.218,94.7278
arunachal-pradesh,2022,4,Financial Services,2617,3785469.399336656,28.218,94.7278
arunachal-pradesh,2022,4,Others,4838,4020773.895396032,28.218,94.7278
assam,2018,1,Recharge & bill payments,632092,93491181.1405638,26.2006,92.9376
assam,2018,1,Peer-to-peer payments,318025,993525195.9818656,26.2006,92.9376
assam,2018,1,Merchant payments,40482,34501622.89266755,26.2006,92.9376
assam,2018,1,Financial Services,18172,4936862.200688562,26.2006,92.9376
assam,2018,1,Others,48110,31349593.99668264,26.2006,92.9376
assam,2018,2,Recharge & bill payments,984160,174427478.21340805,26.2006,92.9376
assam,2018,2,Peer-to-peer payments,530781,2064314053.1339967,26.2006,92.9376
assam,2018,2,Merchant payments,79307,73366344.80739225,26.2006,92.9376
assam,2018,2,Financial Services,22773,7051504.657611102,26.2006,92.9376
assam,2018,2,Others,46852,31425754.725386057,26.2006,92.9376
assam,2018,3,Recharge & bill payments,1275136,254569069.32411745,26.2006,92.9376
assam,2018,3,Peer-to-peer payments,843571,3424136709.5088205,26.2006,92.9376
assam,2018,3,Merchant payments,159532,96783839.37466942,26.2006,92.9376
assam,2018,3,Financial Services,22677,4741123.821880115,26.2006,92.9376
assam,2018,3,Others,50935,30904247.88478589,26.2006,92.9376
assam,2018,4,Recharge & bill payments,1703488,317661277.3470997,26.2006,92.9376
